english,portuguese
Is Tom still studying French?,Tom ainda está estudando francês?
Can you give us a hand?,Você pode nos ajudar?
Are there more sheep in Wales or in New Zealand?,Há mais ovelhas no País de Gales ou na Nova Zelândia?
"We don't want that, do we?","Não queremos isso, não é?"
No one seems to know what this is used for.,Ninguém parece saber para que isso é usado.
Tom doesn't like studying.,Tom não gosta de estudar.
Do you think that all dictatorships are bad?,Você acha que todas as ditaduras são ruins?
The king and queen are coming.,O rei e a rainha estão vindo.
I didn't think that you'd be early.,Não achei que você chegaria cedo.
He found a broken camera.,Ele encontrou uma câmera quebrada.
Tom made a choice.,Tom fez uma escolha.
Tom began to sweat.,Tom começou a transpirar.
I'm willing to talk.,Eu estou disposto a conversar.
"If you go, they'll go too.","Se vocês forem, eles também irão."
Can you pass me the milk?,Você pode me passar o leite?
You are still so beautiful.,Você ainda é muito bonita.
Tom needs proper medical treatment.,Tom necessita de tratamento médico adequado.
I'm not exactly sure.,Não tenho certeza absoluta.
When do you close?,Quando vocês fecham?
I spent last Sunday reading novels.,Passei o domingo passado lendo novelas.
We sold all the apples that we had.,Vendemos todas as maçãs que tínhamos.
What will you do if you fail the exam?,O que você fará se não passar no exame?
"How soon will the bus come? ""In five minutes.""","Daqui a quanto tempo o ônibus chega? ""Em cinco minutos."""
Tom bought Mary a diamond ring.,Tom comprou um anel com diamante para Mary.
I know that Tom can do that again.,Sei que o Tom consegue fazer isso de novo.
Smoking is bad for you.,Fumar faz mal para você.
I love your accent.,Adoro o teu sotaque.
I don't think that I could stand being in the same room with Tom all afternoon.,Eu acho que não poderia ficar no mesmo quarto com Tom a tarde toda.
We speak French.,Falamos francês.
Things didn't happen like we'd hoped.,As coisas não aconteceram como esperávamos.
We're journalists.,Somos jornalistas.
Do you already have a plan?,Você já tem um plano?
I'm no good for you.,Não sou bom para você.
Don't lose focus.,Não perca o foco.
We were in the same friend group.,Nós éramos do mesmo grupo de amigos.
I study English at home.,Eu estudo inglês em casa.
Tom and I have a plan.,Tom e eu temos um plano.
She keeps on making the same mistakes.,Ela continua cometendo os mesmos erros.
We did what we wanted to.,Nós fizemos o que nós queríamos.
I rarely catch a cold.,Eu raramente pego um resfriado.
I did my work well.,Eu fiz bem o meu trabalho.
She was not seriously injured.,Ela não foi seriamente machucada.
Don't look at the camera.,Não olhe para a câmera!
Now don't move.,Agora não se mova.
It snowed from Monday to Friday.,Nevou de segunda a sexta.
I feel pretty comfortable.,Eu me sinto bastante confortável.
"Tom isn't crazy, but Mary is.","O Tom não é maluco, mas a Mary é."
I swerved to avoid hitting a skunk.,Eu desviei para não atropelar um gambá.
Is this OK?,Está ok?
Stop crying.,Pare de chorar.
I like this book.,Gosto deste livro.
Where's the restroom?,Onde fica o banheiro?
Tom was trying to be funny.,Tom estava tentando ser engraçado.
Tom said he was disappointed.,Tom disse que estava decepcionado.
Tom and Mary both started to laugh.,Tanto Tom quanto Mary começaram a rir.
He started to speak English.,Ele começou a falar inglês.
I don't know how long this situation is going to last.,Eu não sei quanto tempo esta situação vai durar.
We had dinner at a restaurant.,Jantamos num restaurante.
Is the museum open today?,O museu está aberto hoje?
I thought Tom would be shy.,Achei que o Tom ficaria tímido.
I came earlier than usual.,Eu vim mais cedo do que o habitual.
I wish you'd said that before.,Eu desejava que você tivesse dito isso antes.
"I'm going to protect you, Tom.","Vou te proteger, Tom."
I have a lot of cameras.,Eu tenho muitas câmeras.
The new supermarket was opened last month.,O novo supermercado foi aberto no mês passado.
You should come back here again.,Você deveria voltar aqui novamente.
He wants to kiss her.,Ele quer beijá-la.
How do you write your last name?,Como se escreve seu último nome?
We'd better think of something.,É melhor pensarmos em algo.
The station is situated between the two towns.,A estação está situada entre as duas cidades.
Tom set his house on fire.,Tom ateou fogo à própria casa.
Tom will find it.,Tom vai encontrá-lo.
He gave me an orange in exchange for a piece of cake.,Ele me deu uma laranja em troca de um pedaço de bolo.
Tom will be a good father.,Tom vai ser um bom pai.
I drink milk almost every day.,Eu tomo leite quase todos os dias.
Who told you Tom would be here?,Quem te disse que o Tom estaria aqui?
He began to work for that company last year.,Ele começou a trabalhar nessa empresa no ano passado.
What are you doing?,O que você está fazendo?
I got bitten by a dog.,Fui mordida por um cachorro.
Tom eventually resigned.,Tom finalmente se demitiu.
I was just having a little fun.,Eu só estava me divertindo um pouco.
I'm not a good swimmer.,Eu não sou um bom nadador.
The odds are against us.,As chances estão contra nós.
Tom likes them.,Tom gosta delas.
The police arrested him for theft.,A polícia o prendeu por roubo.
Tom could've done it.,O Tom poderia ter feito isso.
There was fear in his eyes.,Havia medo nos olhos dele.
Don't exceed the speed limit.,Não ultrapasse o limite de velocidade.
Let's get things ready beforehand.,Vamos preparar as coisas com antecedência.
Let's head back home.,Vamos voltar para casa.
Do you know when Tom will get back?,Você sabe quando Tom voltará?
They offered it to me first.,Eles ofereceram primeiro a mim.
Is it that irrelevant?,Isso é tão irrelevante?
Tom can barely walk.,Tom mal consegue andar.
Do you like black cats?,Você gosta de gatos pretos?
Don't be noisy in this room.,Não faça barulho nessa sala.
That's my plan.,Este é o meu projeto.
I hope that it doesn't rain today.,Espero que não chova hoje.
The question is what are you going to do.,A questão é o que você vai fazer.
Tom hated his teacher.,Tom odiava o professor dele.
Get your hands off me.,Tire as mãos de mim.
Wait a while.,Espere um momento.
You don't owe me anything.,Você não me deve nada.
It's not raining anymore.,Não chove mais.
How exactly did you do that?,Como fizestes vós isso exatamente?
I'll be back in a wink.,Volto já.
Put it on the table.,Coloca na mesa.
Tom didn't want to offend Mary.,Tom não queria ofender Mary.
I need to do that.,Eu preciso fazer isso.
Everything's here.,Está tudo aqui.
Her novel was translated into Japanese.,O romance dela foi traduzido para o japonês.
I think about you all day long.,Eu penso em ti o tempo todo.
Please read it again.,"Por favor, leia-o de novo."
I didn't even know you had a horse.,Eu nem sabia que vocês tinham um cavalo.
Are these bananas ripe?,Estas bananas estão maduras?
Your wife says some strange things.,A sua esposa diz umas coisas estranhas.
She wanted to get married immediately.,Ela queria se casar imediatamente.
"Wait, don't shoot!","Espere, não atire!"
Tom and Mary are carpenters.,Tom e Mary são carpinteiros.
I think it's going to rain.,Eu acho que vai chover.
I don't know you anymore.,Eu não a conheço mais.
They advertised that they had a house for sale.,Eles anunciaram que tinham uma casa para vender.
I wonder what Tom wanted to do.,Me pergunto o que Tom queria fazer.
I think it won't rain tomorrow.,Acho que não choverá amanhã.
Tom has to stay in the hospital.,Tom tem que ficar no hospital.
The scenery was too beautiful for words.,O cenário era de uma beleza indescritível.
This will deaden the pain.,Isso irá aliviar a dor.
I intend to tell the truth.,Eu pretendo dizer a verdade.
Does Tom know how to dance?,Tom sabe dançar?
She left for America the day before yesterday.,Ela partiu para a América anteontem.
This is Tom's computer.,Esse é o computador de Tom.
That is her car.,Aquele é seu carro.
I really like this fruit.,Eu gosto muito desta fruta.
Tom isn't frightened.,Tom não está assustado.
Why don't you come visit us?,Por que não vem nos visitar?
The house is beautiful.,A casa é bonita.
The truce did not last long.,A trégua não durou muito.
I want to eat the same thing Tom is eating.,Eu quero comer a mesma coisa que o Tom está comendo.
Was Tom with them?,Tom estava com eles?
I wanted to see everyone.,Eu queria ver todos.
Tom admitted that he'd been mistaken.,Tom admitiu que estava enganado.
I thank you for that.,Sou grata à senhora por isso.
We must consider every aspect of the problem.,Nós devemos levar em conta cada aspecto do problema.
Have you made a list yet?,Você já fez uma lista?
I know Tom isn't a reckless person.,Eu sei que Tom não é uma pessoa descuidada.
I can't believe it's really Tom.,Eu não posso acreditar que seja mesmo o Tom.
The house there belongs to me.,Aquela casa é minha.
What did you come to see?,O que você veio ver?
You're in trouble.,Você está encrencada.
I want to know what Tom's blood type is.,Quero saber qual é o tipo sanguíneo de Tom.
Did you know that Tom was Mary's brother?,Você sabia que Tom era irmão de Maria?
I'll talk with Tom.,Vou falar com o Tom.
History repeats itself.,A história se repete.
I know Tom is after me.,Sei que Tom está atrás de mim.
Your efforts are futile.,Seus esforços são fúteis.
Do you have a family?,Você tem família?
Do you know who the traitor is?,Tu sabes quem é o traidor?
Nobody saw it coming.,Ninguém viu chegando.
Let's have sushi.,Vamos comer sushi.
I play baseball.,Eu jogo beisebol.
All my friends can speak French.,Todos os meus amigos sabem falar francês.
I'm thinking about traveling to Europe with a friend.,Estou pensando em viajar para a Europa com um amigo.
Tom closed the office door.,Tom fechou a porta do escritório.
Today's lesson was boring.,A lição de hoje era chata.
The knife isn't sharp.,A faca não está afiada.
I think it makes sense.,Eu acho que faz sentido.
I can carry my own weight.,Eu dou conta de minha parte.
"I don't know how, but I did it.","Eu não sei como, mas consegui fazer."
They were so young.,Eles eram muito jovens.
The teacher approved his plan.,O professor aprovou seu plano.
What time did you wake up?,A que horas você acordou?
Please take a deep breath.,"Por favor, respire fundo."
What a great view!,Que vista magnífica!
"Generally speaking, history repeats itself.","De uma maneira geral, a história imita ela mesma."
I can see that.,Posso vê-lo.
We will never agree.,Nós nunca estaremos de acordo.
My mother was up late last night.,Minha mãe estava acordada até tarde na noite passada.
They won't find it.,Eles não vão encontrá-lo.
"The less said, the better.","Quanto menos se disser, melhor."
This is a drum.,Isto é um tambor.
I want to work here.,Eu quero trabalhar aqui.
Where's my sister?,Cadê minha irmã?
Tom is looking forward to going to Australia.,O Tom está ansioso para ir para a Austrália.
Make sure Tom comes.,Certifique-se de que o Tom virá.
I don't feel like going.,Não estou a fim de ir.
Do you have any idea what this is called?,Você tem alguma ideia do que isso é chamado?
Would you like some more roast beef?,A senhora gostaria de um pouco mais de carne assada?
The war had lasted four years.,A guerra durara quatro anos.
How did you happen to end up there?,Como é que você foi parar ali?
I don't think Tom is in love with me.,Eu não acho que Tom esteja apaixonado por mim.
Didn't you get my message?,Você não recebeu a minha mensagem?
I assure you this isn't a joke.,Te asseguro que isto não é uma piada.
Tom said Mary would come.,Tom disse que Maria viria.
It wasn't my fault.,Isso não foi culpa minha.
Let me see what's in the box.,Deixa eu ver o que tem na caixa.
Are you going up there?,Vais lá acima?
Tom is very interested in learning French.,Tom está muito interessado em aprender Francês.
We'll know the truth before long.,Logo saberemos a verdade.
I need a bath.,Preciso de uma ducha.
I talked with her for an hour.,Conversei com ela durante uma hora.
"I've been drinking, so I can't drive you home.","Eu tenho bebido, então não posso te levar para casa."
We have to learn how to do that.,Temos de aprender a fazer isso.
Tom speaks slowly.,Tom fala devagar.
Please keep me posted.,"Por favor, mantenha-me informado."
I'm sure you're going to like this lunch.,Tenho certeza de que gostarão do almoço.
What are you thinking of?,No que vocês estão pensando?
I'm sorry I didn't let you do that.,Sinto muito por não deixá-lo fazer isso.
Tom isn't as smart as he looks.,Tom não é tão esperto como parece.
"At night, I write in the living room.",À noite eu escrevo na sala de estar.
I lent some books to Tom.,Emprestei alguns livros ao Tom.
I'm still thirsty.,Eu ainda estou com sede.
Ten divided by five is two.,Dez dividido por cinco é igual a dois.
Don't buy that one.,Não compre essa.
I knew what I was supposed to do.,Eu soube o que eu devia fazer.
"I disagree with you, Tom.","Eu discordo de você, Tom."
Tom argued with Mary.,Tom discutiu com Maria.
They gave me what I wanted.,Eles me deram o que eu queria.
I don't know anymore.,Eu não sei mais.
Why should I go to Boston?,Por que eu deveria ir a Boston?
Tom was never prepared.,Tom nunca esteve preparado.
Would you like something to drink?,Você deseja beber algo?
What time do you have dinner?,A que horas vocês jantam?
What's the screen resolution?,Qual é a resolução da tela?
Do you want to stay for dinner?,Você quer ficar para o jantar?
I had almost finished my work when she came.,Eu havia quase terminado o trabalho quando ela chegou.
May I leave early?,Posso sair cedo?
We're relaxed.,Nós somos relaxados.
Nobody encouraged him.,Ninguém o encorajou.
I have to find out the truth.,Tenho que descobrir a verdade.
My grandfather can't walk without his cane.,Meu avô não pode andar sem sua bengala.
I wonder if this is a dream.,Será que isso é um sonho?
Who waited?,Quem esperava?
There's a garden behind our house.,Há um jardim atrás da nossa casa.
What do you know?,O que sabes?
What are you going to order?,O que você vai pedir?
We're not ready to go yet.,Ainda não estamos prontas para ir.
Do you want me to hate you?,Você quer que eu o odeie?
I miss you a lot.,Eu sinto muito a sua falta.
Tom wanted to know if you've already talked to Mary about what we wanted her to do.,Tom queria saber se você já falou com Mary sobre o que queremos que ela faça.
It was a huge disappointment.,Foi uma grande decepção.
It's 2:30 now.,São 2h30 agora.
We have a house.,Temos uma casa.
I was just about to say the same thing.,Eu ia dizer a mesma coisa.
The building has been evacuated.,O edifício foi evacuado.
"You want another one, don't you?","Você quer outro, não quer?"
Tom spends a lot of money on clothes.,Tom gasta muito dinheiro em roupas.
He'll play golf even if it rains.,"Ele vai jogar golfe, mesmo se chover."
I found this one.,Encontrei esse aqui.
I am thinking of going to Los Angeles.,Estou pensando em ir para Los Angeles.
I'm tired of Boston.,Estou cansado de Boston.
Tom knows what I'm talking about.,Tom sabe do que estou falando.
I don't want to go to school.,Eu não quero ir pra escola.
My parents wouldn't let me date who I wanted to date.,Meu pais não me deixariam namorar quem eu gostaria de namorar.
Let's schedule a meeting.,Vamos marcar uma reunião.
That's just one of the reasons I don't like Tom.,Essa é apenas uma das razões de eu não gostar do Tom.
What did he draw on the blackboard?,O que ele desenhou no quadro?
That is your book.,Esse é o teu livro.
I have to get away from here.,Tenho de sair daqui.
Tom would like to come with us.,Tom gostaria de vir conosco.
She detests speaking in public.,Ela detesta falar em público.
What time do you have breakfast?,A que horas você toma café da manhã?
Tom didn't tell Mary where John lived.,Tom não disse a Mary onde John morava.
This cruel cold could make a man afraid of his own voice.,Este frio cruel deixaria um homem com medo da própria voz.
Tom seemed to be very annoyed.,O Tom parecia estar muito irritado.
Tom told me that he won't come to school tomorrow.,Tom me disse que ele não virá para a escola amanhã.
I don't like the kind of food that Tom makes.,Eu não gosto do tipo de comida que Tom faz.
Speak your mind.,Diz o que pensas.
When will we go home?,Quando nós vamos para casa?
Tom is on the phone again.,Tom está ao telefone de novo.
Tom depends on Mary.,Tom depende de Mary.
I have to sleep.,Preciso dormir.
I'm not going to tell you.,Eu não irei te contar.
I didn't know that you were drunk.,Eu não sabia que você estava embriagado.
He can read English easily.,Ele consegue ler inglês facilmente.
Don't get mad at us.,Não fique bravo conosco.
Tom certainly looks older than twelve.,O Tom certamente parece ser mais velho que doze anos.
I'll give you a second chance.,Vou te dar uma segunda chance.
He wrote a paper on the subject.,Ele escreveu um artigo sobre o assunto.
Why don't we go get something to eat?,Por que a gente não vai buscar alguma coisa para comer?
What can I do with this?,O que posso fazer com isso?
I've decided to wait.,Eu decidi esperar.
You promised.,Vocês prometeram.
It's all right with him.,Ele está bem.
I'm not who you think I am.,Eu não sou quem você pensa que sou.
Can you count to one hundred in French?,Sabe contar até cem em francês?
Tom weighs more than Mary.,O Tom pesa mais que a Mary.
Tell Tom that I'm going to do that today.,Diga ao Tom que vou fazer isso hoje.
Are you really as young as you say you are?,Você realmente é tão jovem quanto diz que é?
Tom had a ladle in his right hand.,Tom tinha uma concha na mão direita.
Tom never mentioned your name.,Tom nunca mencionou o seu nome.
It feels like a setup.,Está com cara de mutreta.
Tom spoiled all my plans.,Tom estragou todos os meus planos.
Where can I get stamps?,Onde eu posso comprar selos?
"Is there a book on the desk? ""No, there isn't.""","Tem um livro na escrivaninha? ""Não, não tem""."
What can you teach me?,O que vocês podem me ensinar?
Did you wash your hands?,Lavaste as mãos?
I need to take a vacation.,Preciso tirar férias.
We'll stay here.,Vamos ficar aqui.
"The telephone rang, but no one answered.","O telefone tocou, mas ninguém atendeu."
I can't walk because of my broken leg.,Eu não posso andar por causa da minha perna quebrada.
Bullying in schools is a serious problem.,Bullying nas escolas é um problema sério.
The dishes are piling up in the sink.,Os pratos estão se acumulando na pia.
Is there something we can do?,Há algo que possamos fazer?
Tom has never seen Mary without makeup.,Tom nunca viu Mary sem maquiagem.
She asked me if I would be free next Sunday.,Ela me perguntou se eu vou estar livre neste domingo.
We should get more organized.,Deveríamos nos organizar mais.
I'll make some tea.,Eu farei chá.
She gave me a present.,Ela deu-me um presente.
Where are the files?,Onde estão os ficheiros?
My father doesn't understand me.,O meu pai não me compreende.
I suppose that you've heard of it.,Eu suponho que você já ouviu falar disso.
The birds flew to the south.,Os pássaros voaram para o sul.
"When I first met Tom, I was eighteen.","Quando conheci o Tom, tinha dezoito anos."
"Well, such things happen.","Bem, tais coisas acontecem."
It started a chain reaction.,Começou uma reação em cadeia.
Tom was still up when Mary got home.,Tom ainda estava acordado quando Mary chegou em casa.
We really miss our wives.,Sentimos muito a falta de nossas esposas.
The skies are clear.,O tempo está aberto.
Tom couldn't hear what was being said.,Tom não pôde escutar o que estava sendo dito.
I didn't know that you were planning on doing that.,Não sabia que planejava fazer isso.
Maybe I didn't explain it well enough.,Talvez eu não tenha explicado bem o bastante.
I'd have done that myself if I'd known how.,Tê-lo-ia feito se soubesse como.
"Why can't we do that, too?",Por que nós não podemos fazer aquilo também?
They're both dead.,Ambos estão mortos.
We really appreciated Tom's kindness.,Nós realmente apreciamos a gentileza de Tom.
Do you know this comic?,Você conhece este gibi?
Tom is forbidden to go out.,Tom está proibido de sair.
Tom has a sister who is a lawyer.,Tom tem uma irmã que é advogada.
I've got to show you something.,Eu tenho que lhe mostrar uma coisa.
You eat too many sweets.,Estás comendo doces demais.
Tom said he thought Mary would likely not cry.,Tom disse que achava que Mary provavelmente não choraria.
What was your favorite book when you were a child?,Qual era o seu livro favorito quando criança?
Is it the truth?,É esta a verdade?
Tom's mistaken.,Tom está enganado.
You underestimated Tom.,Você subestimou o Tom.
I think that Tom won't be interested.,Eu acho que o Tom não vai ficar interessado.
I've never liked that.,Eu nunca gostei disso.
I really enjoy studying French.,Eu gosto muito de estudar francês.
I'm satisfied with the results.,Estou satisfeito com os resultados.
I hope you know what you're doing.,Eu espero que você saiba o que está fazendo.
I won't ask you anything else today.,Não vos perguntarei mais nada hoje.
"I didn't want to do this, but Tom insisted.","Eu não queria fazer isto, mas o Tom insistiu."
"I need a phone, and fast.",Preciso de um celular e rápido.
Tom looks worried.,Tom parece preocupado.
We'd like you to sing some songs.,A gente queria que você cantasse umas músicas.
Tom is likely to still be weak.,Tom provavelmente ainda está fraco.
Tom felt sad.,Tom se sentiu triste.
She looks familiar.,Ela parece familiar.
That watch belonged to my grandfather.,Aquele relógio pertencia ao meu avô.
The door is unlocked.,A porta está aberta.
Can't someone fix this?,Ninguém pode consertar isto?
Do you think I'm attractive?,Você acha que eu sou atraente?
I'm not going to do that with Tom.,Não vou fazer isso com o Tom.
The money is on the table.,O dinheiro está em cima da mesa.
I'm trying to remember.,Eu estou tentando lembrar.
His passport was stolen.,O passaporte dele foi roubado.
Tom will try to stop Mary from doing that again.,Tom vai tentar impedir Mary de fazer aquilo novamente.
What should I buy?,O que eu deveria comprar?
"Because of his age, my grandfather doesn't hear well.","Devido a sua idade, meu avô não ouve muito bem."
That doesn't help me.,Isso não me ajudou.
Tom made it look so easy.,Tom fez parecer tão fácil.
"In this country, you're not permitted to do that.","Nesse país, você não está autorizado a fazer isso."
His handwriting is poor.,A caligrafia dele é feia.
What happened to your ankle?,O que aconteceu com o seu tornozelo?
Tell me about your plan.,Me diga sobre seu plano.
Today is my lucky day.,Hoje é meu dia de sorte.
I know you weren't lying.,Eu sei que vocês não estavam mentindo.
Did Tom and Mary say when they'd be back?,Eles(Tom e Mary) disseram quando estariam de volta?
Do you have a crush on Tom?,Você tem uma queda por Tom?
Welcome to Boston.,Bem-vindo a Boston.
Put away your things.,Guarda tuas coisas.
You should wash your face.,Você deveria lavar o seu rosto.
Mary bought several dresses.,Mary comprou vários vestidos.
I'm just a little curious.,Eu só estou um pouco curioso.
I hope Tom isn't upset.,Espero que o Tom não esteja chateado.
"Switzerland is situated between France, Italy, Austria and Germany.","A Suíça fica entre a França, a Itália, a Áustria e a Alemanha."
We're in Boston.,Nós estamos em Boston.
My father's car is new.,O carro de meu pai é novo.
How about Monday night?,Que tal segunda à noite?
He looks older than my brother.,Ele parece mais velho que meu irmão.
What's your profession?,Qual é a sua profissão?
Did you bring the key?,Trouxeram a chave?
What did you think of the movie?,O que vocês acharam do filme?
I didn't want to interrupt Tom while he was talking.,Eu não queria interromper Tom enquanto ele estava falando.
Tom is trying to make up for lost time.,Tom está tentando compensar o tempo perdido.
My son can count up to a hundred now.,Meu filho pode contar até cem agora.
Someone's in the shower.,Tem alguém tomando banho.
I don't care about anybody else.,Eu não ligo para mais ninguém.
Eggs are sold by the dozen.,Os ovos são vendidos por dúzia.
Tell me when he returns.,Me avise quando ele retornar.
Why's everyone calling me Tom?,Por que todo mundo está me chamando de Tom?
I'm fat.,Estou gordo.
I'll ask you one question.,Vou te fazer uma pergunta.
The toy department is on the fifth floor.,O departamento de brinquedos é no quinto andar.
I want to see the world.,Quero ver o mundo.
Mary came in.,Mary entrou.
Tom has a brother in Boston.,Tom tem um irmão em Boston.
I really don't think I can do that.,Eu realmente não acho que eu consigo fazer isso.
I need your advice.,Preciso do seu conselho.
Are you fit?,Você está em forma?
I'm not stoned.,Não estou chapado.
Tom won't be able to lift that box by himself.,O Tom não vai conseguir levantar a caixa sozinho.
We got married.,Nós nos casamos.
I laughed when Tom said that.,Eu ri quando Tom disse isso.
We'll talk about it later.,Falaremos sobre isso mais tarde.
I should've been asked first.,Eu deveria ter perguntado primeiro.
Tom isn't as skinny as he used to be.,Tom não é tão magro quanto costumava ser.
I keep all my old pictures upstairs in a wooden box.,"Eu guardo todas as minhas fotos antigas no andar de cima, em uma caixa de madeira."
There's not a cloud in the sky.,O céu está limpo.
What do you have to say about that?,O que você tem a dizer sobre isso?
There is not enough demand for this product.,Não há demanda suficiente para esse produto.
They're all talking about his death.,Todos estão falando sobre a morte dele.
She is mad at me.,Ela está com raiva de mim.
Tom is still doing drugs.,Tom ainda está usando drogas.
Do you watch the 8 o'clock soap opera?,Você assiste à novela das oito?
"Mary is in the bathroom, putting on makeup.","Mary está no banheiro, colocando maquiagem."
How could it have exploded?,Como poderia ter explodido?
Tom has been trying to contact you for days.,Tom vem tentando te contatar por dias.
Tom translated the document from French into English.,Tom traduzia o documento do francês para o inglês.
It looks like we're all here.,Parece que todos estamos aqui.
I want to go to school and study hard.,Quero ir à escola e estudar de verdade.
It's raining cats and dogs.,Está a chover a cântaros.
The room is fully furnished.,O cômodo está todo mobiliado.
Tom is taller than both Mary and her brother.,O Tom é mais alto que a Maria e o seu irmão.
Tom can't be much older than Mary.,Tom não deve ser muito mais velho que a Mary.
Unlock the door.,Abra a porta.
What's the new teacher like?,Como é o novo professor?
Tell me what I should do first.,Diga-me o que devo fazer primeiro.
I shut the door behind me.,Eu fechei a porta atrás de mim.
I almost drowned last summer.,Eu quase me afoguei no verão passado.
Tom doesn't know what'll happen.,Tom não sabe o que acontecerá.
"Tom used to play the guitar, didn't he?","Tom tocava violão, não tocava?"
I didn't know Tom and Mary were married.,Eu não sabia que Tom e Mary eram casados.
Were you thinking about me?,Você estava pensando em mim?
I want to sit between you and Tom.,Quero sentar-me entre ti e o Tomás.
My grandfather was an archaeologist.,O meu avô era um arqueólogo.
I want a soft pillow.,Eu quero um travesseiro macio.
"He is getting old, but he is as healthy as ever.","Ele está ficando velho, mas está mais saudável do que nunca."
It wasn't a dream.,Não foi um sonho.
I'm going to study harder next semester.,Vou estudar mais no próximo semestre.
I'm a lot heavier than you.,Eu sou muito mais pesada do que você.
I have no beef with him.,Eu não tenho nenhum problema com ele.
Tom and Mary understand each other perfectly.,Tom e Maria entendem-se perfeitamente.
The smell of food made me hungry.,O cheiro de comida me deixou com fome.
"I'm sorry, did you say something?","Desculpe, o senhor disse algo?"
"Tom is really shy, isn't he?","Tom é mesmo tímido, não é?"
Tom helped Mary.,Tom ajudou Mary.
"Everybody, let's have a good year.",Que todos tenham um bom ano.
Tom and Mary took turns driving.,Tom e Mary revezaram a direção.
I'm feeling bad.,Estou me sentindo mal.
Someone stole my wallet.,Alguém roubou-me a carteira.
Tom was a very good student.,Tom foi um aluno muito bom.
"Help yourself, please.","Sirva-se, por favor."
Tom says he needs to study French.,O Tom diz que ele precisa estudar francês.
They're right behind you.,Eles estão bem atrás de você.
I hope we have enough time.,Espero que tenhamos tempo o bastante.
You don't seem to care.,Você não parece se importar.
I thought I had a day off.,Pensava que eu tinha uma folga.
Did you enjoy the film?,Você gostou do filme?
Why were you in my car?,Por que você estava no meu carro?
What can you expect?,O que você pode esperar?
No one knew you were in Boston.,Ninguém sabia que tu estavas em Boston.
I could not understand anything he said.,Não consegui entender nada do que ele disse.
That's not as simple as it looks.,Isso não é tão simples quanto parece.
What does Tom have to lose?,O que o Tom tem a perder?
It's the first time that has ever happened.,Esta é a primeira vez que aconteceu.
Tom wasn't able to do everything he promised that he'd do.,Tom não foi capaz de fazer tudo que tinha prometido fazer.
Tom told me not to lock the door.,Tom me disse para não trancar a porta.
A whale is a mammal.,A baleia é um mamífero.
New Delhi is the capital of India.,Nova Délhi é a capital da Índia.
My name is Tom Jackson.,O meu nome é Tom Jackson.
I left in kind of a hurry.,Eu saí meio que depressa.
I'm concerned.,Estou preocupada.
I don't know how to swim.,Não sei nadar.
Tom never discusses politics with his friends.,Tom nunca discute política com seus amigos.
You look depressed.,Você parece deprimida.
Do they have to do it?,Eles têm que fazer isso?
Tom will lend you a book.,Tom lhe emprestará um livro.
All of them are different.,Todas elas são diferentes.
Please pick up your ticket at the counter.,"Por favor, retire o seu ingresso no guichê."
My computer is slow.,Meu computador está lento.
I had Tom sit in the back.,Eu mandei Tom sentar nos fundos.
Why does Tom care?,Por que o Tom liga?
Both are great schools.,Ambas são excelentes escolas.
We know you have it.,Sabemos que vocês o têm.
We go to the movies together once in a while.,De vez em quando vamos ao cinema juntos.
Their lips met.,Seus lábios se tocaram.
I've trained for months.,Eu treinei por meses.
We're calm.,Nós somos tranquilos.
She could not come because she was ill.,Ela não pôde vir porque estava doente.
Tom lives in a bad part of town.,Tom mora numa parte ruim da cidade.
Doesn't that sound nice?,Isso não soa legal?
I don't know where I am exactly.,Não sei precisamente onde estou.
Are you sure you don't want to come?,Tem certeza de que não quer vir?
Don't write in library books.,Não escreva nos livros da biblioteca.
He never seems to feel the cold.,Parece que ele nunca sente frio.
Tell me when to begin.,Diga-me quando começar.
Tom is laughing.,O Tom está rindo.
I want everything.,Eu quero tudo.
Who gave you permission to do that?,Quem te deu autorização para fazer isso?
We got lost in the snow.,Nós nos perdemos na neve.
The wingspan of an eagle is more than a meter.,A envergadura de uma águia é mais que a um metro.
Tom has been doing that since 2013.,Tom faz isso desde 2013.
"I opened the box, but I found it empty.","Abri a caixa, mas estava vazia."
Let's just hope Tom is alone.,Vamos esperar que Tom esteja sozinho.
I know you have homework to do.,Eu sei que você tem trabalho de casa para fazer.
Tom won't call you on Monday.,Tom não vai ligar para você na segunda-feira.
Aren't you a taxi driver?,Você não é taxista?
Tom never found out the truth about Mary and John.,Tom nunca descobriu a verdade sobre Maria e João.
You have to tell Tom everything.,Você tem que contar tudo para o Tom.
We made a bargain.,Fizemos uma barganha.
They didn't know.,Eles não sabiam.
Tom helped pack Mary's things in boxes.,Tom ajudou a empacotar as coisas de Mary em caixas.
I live in an old house.,Moro numa casa velha.
What are these things?,O que são essas coisas?
There are many good restaurants in Boston.,Há muitos bons restaurantes em Boston.
Did you understand the lesson?,Entenderam a lição?
Are you still busy?,Você ainda está ocupado?
Where do you swim?,Onde é que você nada?
This street is very noisy.,Esta rua é muito barulhenta.
I hoped Tom would be there.,Eu esperava que o Tom estivesse lá.
What are you doing there?,O que você está fazendo lá?
We need a timekeeper.,Nós precisamos de um cronometrista.
"You're confused again, aren't you?","Você está outra vez confusa, não está?"
Exports in January were up 20% over the same period of last year.,As exportações de janeiro foram 20% superiores em relação ao ano passado.
The doors were closed.,As portas estavam fechadas.
His opinion was unimportant.,A opinião dele não era importante.
